source_file/page,source_line,link_text_or_identifier,target_url/path,link_type,status,issue_description,recommended_fix
games/referendum-game/index.html,304,script,https://cdn.jsdelivr.net/npm/canvas-confetti@1.9.3/dist/confetti.browser.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/referendum-game/index.html,305,script,https://unpkg.com/lucide@latest/dist/umd/lucide.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/scopa.html,7,script,https://unpkg.com/peerjs@1.5.2/dist/peerjs.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/shogi.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&family=Noto+Sans+JP:wght@400;700&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/slot.html,12,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/slot.html,14,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
games/slot_collect.html,1,ORPHAN_PAGE,games/slot_collect.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
games/snake.html,12,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/snake.html,14,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
games/taboo.html,10,link,https://fonts.googleapis.com/css2?family=Inter:wght@400;600;800;900&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/tamagotchi.html,10,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&family=Fredoka:wght@500;600;700&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/tamagotchi.html,12,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
games/tamagotchi.html,13,script,https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/tetris.html,8,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
games/tokyo.html,10,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/tower_defense.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/warship.html,10,script,https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/watermelon.html,1,ORPHAN_PAGE,games/watermelon.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
games/watermelon.html,13,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/watermelon.html,15,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
games/webgl_diagnostics.html,8,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/webgl_diagnostics.html,25,script,https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/webgl_diagnostics.html,71,chrome://gpu,chrome://gpu,external,suspicious,External URL not checked,Validate external target availability.
games/wikipedia_game.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
index.html,59,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
index.html,73,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
index.html,527,🐙 GitHub,https://github.com/LucaGandolfi77,external,suspicious,External URL not checked,Validate external target availability.
index.html,531,💼 LinkedIn,https://it.linkedin.com/in/luca-gandolfi7,external,suspicious,External URL not checked,Validate external target availability.
index.html,535,👻 Snapchat,https://snapchat.com/t/JJ731Jlt,external,suspicious,External URL not checked,Validate external target availability.
index.html,539,📸 Instagram,https://www.instagram.com/gandolfi_luca?igsh=eGV1ZnY3aXhoMjgz&utm_source=qr,external,suspicious,External URL not checked,Validate external target availability.
pages/content/karamazov.html,7,link,"https://fonts.googleapis.com/css2?family=Merriweather:ital,wght@0,300;0,700;1,300&display=swap",external,suspicious,External URL not checked,Validate external target availability.
pages/content/luca_life.html,7,link,"https://fonts.googleapis.com/css2?family=Inter:wght@400;700&family=Playfair+Display:ital,wght@0,700;1,400&display=swap",external,suspicious,External URL not checked,Validate external target availability.
pages/content/memes.html,1,ORPHAN_PAGE,pages/content/memes.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
pages/content/memes.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/content/movies.html,13,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/content/music.html,13,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/content/photobook.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/content/poem.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/content/proust.html,7,link,"https://fonts.googleapis.com/css2?family=Cormorant+Garamond:ital,wght@0,400;0,600;1,400&display=swap",external,suspicious,External URL not checked,Validate external target availability.
pages/content/proust_fixed.html,1,ORPHAN_PAGE,pages/content/proust_fixed.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
pages/content/proust_fixed.html,7,link,"https://fonts.googleapis.com/css2?family=Cormorant+Garamond:ital,wght@0,400;0,600;1,400&display=swap",external,suspicious,External URL not checked,Validate external target availability.
pages/content/tvshows.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/experiments/8.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/experiments/aviator_viper.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@400;600;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/experiments/easter_egg.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/ai_tale.html,7,link,https://fonts.googleapis.com/css2?family=Roboto+Mono:wght@400;700&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/blog.html,28,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/books.html,13,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/cookie-policy.html,16,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/cookie-policy.html,107,Google Chrome,https://www.google.com/chrome/,external,suspicious,External URL not checked,Validate external target availability.
pages/main/cookie-policy.html,108,Mozilla Firefox,https://support.mozilla.org/kb/enhanced-tracking-protection-firefox-desktop,external,suspicious,External URL not checked,Validate external target availability.
pages/main/cookie-policy.html,109,Apple Safari,https://support.apple.com/guide/safari/manage-cookies-sfri11471,external,suspicious,External URL not checked,Validate external target availability.
pages/main/cookie-policy.html,110,Microsoft Edge,https://support.microsoft.com/microsoft-edge/manage-cookies-in-microsoft-edge-view-allow-block-delete-and-use-168dab11-0753-043d-7c16-ede5947fc64d,external,suspicious,External URL not checked,Validate external target availability.
pages/main/cookie-policy.html,117,"Google (Fonts, reCAPTCHA)",https://policies.google.com/privacy,external,suspicious,External URL not checked,Validate external target availability.
pages/main/cookie-policy.html,118,Cloudflare (Font Awesome CDN),https://www.cloudflare.com/privacypolicy/,external,suspicious,External URL not checked,Validate external target availability.
pages/main/cookie-policy.html,119,EmailJS,https://www.emailjs.com/legal/privacy-policy/,external,suspicious,External URL not checked,Validate external target availability.
pages/main/cookie-policy.html,120,Pollinations.ai,https://pollinations.ai/privacy,external,suspicious,External URL not checked,Validate external target availability.
pages/main/fidenzaroundabout.html,8,link,"https://fonts.googleapis.com/css2?family=Inter:wght@400;600;800&family=Fredoka:wght@500;600&family=Lora:ital,wght@0,400;0,600;1,400&display=swap",external,suspicious,External URL not checked,Validate external target availability.
pages/main/life_comic.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/luca_quiz.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/piano.html,28,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/piano.html,29,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
pages/main/piano.html,30,script,https://cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.min.js,external,suspicious,External URL not checked,Validate external target availability.
pages/main/pinball.html,8,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
pages/main/places.html,21,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/places.html,23,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
pages/main/places.html,26,link,https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.9.4/leaflet.min.css,external,suspicious,External URL not checked,Validate external target availability.
pages/main/places.html,27,script,https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.9.4/leaflet.min.js,external,suspicious,External URL not checked,Validate external target availability.
pages/main/pokedex.html,7,link,https://fonts.googleapis.com/css2?family=Press+Start+2P&family=Segoe+UI:wght@400;600;700&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/privacy-policy.html,16,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/privacy-policy.html,78,Google Privacy,https://policies.google.com/privacy,external,suspicious,External URL not checked,Validate external target availability.
pages/main/privacy-policy.html,79,Google Privacy,https://policies.google.com/privacy,external,suspicious,External URL not checked,Validate external target availability.
pages/main/privacy-policy.html,80,EmailJS Privacy,https://www.emailjs.com/legal/privacy-policy/,external,suspicious,External URL not checked,Validate external target availability.
pages/main/privacy-policy.html,81,Cloudflare Privacy,https://www.cloudflare.com/privacypolicy/,external,suspicious,External URL not checked,Validate external target availability.
pages/main/privacy-policy.html,82,Pollinations Privacy,https://pollinations.ai/privacy,external,suspicious,External URL not checked,Validate external target availability.
pages/main/privacy-policy.html,117,www.garanteprivacy.it,https://www.garanteprivacy.it,external,suspicious,External URL not checked,Validate external target availability.
pages/main/projects.html,1,ORPHAN_PAGE,pages/main/projects.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
pages/main/python.html,1,ORPHAN_PAGE,pages/main/python.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
pages/main/python.html,8,script,https://cdn.jsdelivr.net/pyodide/v0.27.7/full/pyodide.js,external,suspicious,External URL not checked,Validate external target availability.
pages/main/quantum_lab.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/quotes.html,13,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/recipe.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/shop.html,28,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/shop.html,29,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
pages/main/shop.html,31,script,https://js.stripe.com/v3/,external,suspicious,External URL not checked,Validate external target availability.
pages/main/technology.html,15,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/the.html,8,link,https://fonts.googleapis.com/css2?family=Nunito:wght@400;600;700&family=Fredoka:wght@400;500&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/timeline.html,22,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/timeline.html,24,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
pages/main/visualnovels.html,12,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
pages/main/visualnovels.html,14,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
projects/ai_chat.html,1,ORPHAN_PAGE,projects/ai_chat.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/ai_chat.html,11,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
projects/ai_chat.html,13,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
projects/ai_chat.html,61,pollinations.ai,https://pollinations.ai,external,suspicious,External URL not checked,Validate external target availability.
projects/ai_colorizer.html,1,ORPHAN_PAGE,projects/ai_colorizer.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/ai_colorizer.html,8,link,https://fonts.googleapis.com/css2?family=Inter:wght@400;600;800&family=Fredoka:wght@500;600&display=swap,external,suspicious,External URL not checked,Validate external target availability.
projects/ai_colorizer.html,226,script,https://cdn.jsdelivr.net/npm/onnxruntime-web@1.17.3/dist/ort.min.js,external,suspicious,External URL not checked,Validate external target availability.
projects/air_canvas.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@400;600&display=swap,external,suspicious,External URL not checked,Validate external target availability.
projects/armochromy.html,1,ORPHAN_PAGE,projects/armochromy.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/armochromy.html,7,script,https://cdn.jsdelivr.net/npm/@mediapipe/camera_utils/camera_utils.js,external,suspicious,External URL not checked,Validate external target availability.
projects/armochromy.html,8,script,https://cdn.jsdelivr.net/npm/@mediapipe/control_utils/control_utils.js,external,suspicious,External URL not checked,Validate external target availability.
projects/armochromy.html,9,script,https://cdn.jsdelivr.net/npm/@mediapipe/drawing_utils/drawing_utils.js,external,suspicious,External URL not checked,Validate external target availability.
projects/armochromy.html,10,script,https://cdn.jsdelivr.net/npm/@mediapipe/face_mesh/face_mesh.js,external,suspicious,External URL not checked,Validate external target availability.
projects/audio-editor-pwa.html,1,ORPHAN_PAGE,projects/audio-editor-pwa.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/audio-editor-pwa.html,28,button #apri,audio-editor-pwa/index.html,internal,suspicious,Non-crawlable fake link on non-anchor element,"Use <a href=""...""> for navigation; keep JS event only as enhancement."
projects/camera_compression.html,1,ORPHAN_PAGE,projects/camera_compression.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/coloring.html,1,ORPHAN_PAGE,projects/coloring.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/create_qrcode.html,1,ORPHAN_PAGE,projects/create_qrcode.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/create_qrcode.html,13,script,https://cdn.jsdelivr.net/npm/qrcode/build/qrcode.min.js,external,suspicious,External URL not checked,Validate external target availability.
projects/daisy-field/index.html,1,ORPHAN_PAGE,projects/daisy-field/index.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/daisy-field/index.html,16,link,https://fonts.googleapis.com/css2?family=Nunito:wght@600;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
projects/daisy-field/index.html,135,script,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js,external,suspicious,External URL not checked,Validate external target availability.
projects/draw.html,1,ORPHAN_PAGE,projects/draw.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/due-lumi.html,1,ORPHAN_PAGE,projects/due-lumi.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/due-lumi.html,27,button #play,due-lumi/index.html,internal,suspicious,Non-crawlable fake link on non-anchor element,"Use <a href=""...""> for navigation; keep JS event only as enhancement."
projects/ecommerce.html,1,ORPHAN_PAGE,projects/ecommerce.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/ecommerce.html,11,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
projects/ecommerce.html,13,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
projects/face_compare.html,1,ORPHAN_PAGE,projects/face_compare.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
projects/facemesh_camera.html,7,script,https://cdn.jsdelivr.net/npm/@mediapipe/camera_utils/camera_utils.js,external,suspicious,External URL not checked,Validate external target availability.
projects/facemesh_camera.html,8,script,https://cdn.jsdelivr.net/npm/@mediapipe/control_utils/control_utils.js,external,suspicious,External URL not checked,Validate external target availability.
projects/facemesh_camera.html,9,script,https://cdn.jsdelivr.net/npm/@mediapipe/drawing_utils/drawing_utils.js,external,suspicious,External URL not checked,Validate external target availability.
projects/facemesh_camera.html,10,script,https://cdn.jsdelivr.net/npm/@mediapipe/face_mesh/face_mesh.js,external,suspicious,External URL not checked,Validate external target availability.
projects/fashion_detect.html,1,ORPHAN_PAGE,projects/fashion_detect.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
